args,full_path,created,json,cookies,url,headers,method,remote_addr,files,form,id,provider,ip,requesting_ip,gn_classification
{},/.env?,2023-04-13 00:21:44.644543+00:00,{},{},http://20.169.235.233/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '109.237.97.180', 'Host': '20.169.235.233', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '109.237.97.180'}",GET,,{},{},794e9b21-91e3-4dca-9179-288c27a05de3,Azure,,109.237.97.180,unknown
{},/.env?,2023-04-15 23:44:52.441500+00:00,{},{},http://35.202.218.25/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '54.37.79.75', 'Host': '35.202.218.25', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '54.37.79.75'}",GET,,{},{},08e5389c-9995-42dc-b2bd-96f273a66e07,GCP,,54.37.79.75,unknown
{},/?,2023-04-12 16:59:10.574315+00:00,{},{},http://20.169.236.160/,"{'Accept': 'text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8', 'Upgrade-Insecure-Requests': '1', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0', 'X-Forwarded-For': '193.35.18.243', 'Host': '20.169.236.160:80', 'Accept-Language': 'en-GB,en;q=0.5', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '193.35.18.243'}",GET,,{},{},406352d7-50d4-438a-a031-464a4196f0be,Azure,20.169.236.160,193.35.18.243,malicious
{},/?,2023-04-17 23:35:03.979055+00:00,{},{},http://3.86.163.161/,"{'Accept': '*/*', 'X-Requested-With': 'XMLHttpRequest', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46', 'X-Forwarded-For': '193.32.162.159', 'Host': '3.86.163.161', 'Accept-Encoding': 'gzip, deflate,gzip, deflate', 'Accept-Language': 'en US,en;q=0.9,sv;q=0.8', 'X-Real-Ip': '193.32.162.159', 'Content-Type': 'application/x-www-form-urlencoded; charset=UTF-8'}",GET,,{},{},92b9f31c-42e8-4fef-afe1-e756ef838fcd,AWS,,193.32.162.159,unknown
{},/.env?,2023-04-17 11:31:20.398531+00:00,{},{},http://35.174.13.6/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '135.125.246.110', 'Host': '35.174.13.6', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '135.125.246.110'}",GET,,{},{},d7180db8-7cbd-450f-9065-952d7ab08e4f,AWS,,135.125.246.110,unknown
{},/?,2023-04-12 12:33:46.228276+00:00,{},{},http://34.68.197.145/,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Hello World', 'X-Forwarded-For': '179.43.177.242', 'Host': '34.68.197.145:80', 'X-Real-Ip': '179.43.177.242'}",GET,,{},{},e86912ed-96f5-4c72-a956-be15b1996298,GCP,34.68.197.145,179.43.177.242,malicious
{},/?,2023-04-09 23:28:41.318824+00:00,{},{},http://34.132.165.207/,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Hello World', 'X-Forwarded-For': '179.43.177.242', 'Host': '34.132.165.207:80', 'X-Real-Ip': '179.43.177.242'}",GET,,{},{},c9ba1644-b8e9-41af-ae52-eb680306da18,GCP,34.132.165.207,179.43.177.242,malicious
{},/.env?,2023-04-17 07:02:59.003287+00:00,{},{},http://35.174.13.6/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '185.254.196.173', 'Host': '35.174.13.6', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '185.254.196.173'}",GET,,{},{},c5b651a4-cb2b-4c9e-94cd-cdf42429ed16,AWS,,185.254.196.173,unknown
{},/?,2023-04-18 22:30:00.942710+00:00,{},{},http://35.202.218.25/,"{'Accept': '*/*', 'X-Requested-With': 'XMLHttpRequest', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46', 'X-Forwarded-For': '193.32.162.159', 'Host': '35.202.218.25', 'Accept-Encoding': 'gzip, deflate,gzip, deflate', 'Accept-Language': 'en US,en;q=0.9,sv;q=0.8', 'X-Real-Ip': '193.32.162.159', 'Content-Type': 'application/x-www-form-urlencoded; charset=UTF-8'}",GET,,{},{},82a2b56b-fb39-430e-bf83-951b46f76d10,GCP,,193.32.162.159,unknown
{},/?,2023-04-21 13:30:16.141099+00:00,{},{},http://20.169.235.110/,"{'Accept': '*/*', 'X-Requested-With': 'XMLHttpRequest', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46', 'X-Forwarded-For': '193.32.162.159', 'Host': '20.169.235.110', 'Accept-Encoding': 'gzip, deflate,gzip, deflate', 'Accept-Language': 'en US,en;q=0.9,sv;q=0.8', 'X-Real-Ip': '193.32.162.159', 'Content-Type': 'application/x-www-form-urlencoded; charset=UTF-8'}",GET,,{},{},d1fb9c87-4c9b-4687-abb3-b2ca205a8cc5,Azure,,193.32.162.159,unknown
